,question,answer,contexts,ground_truth
154,how many languages do they speak in africa,No answer,"['Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.', 'Afrikaans is a language.']",No answer
155,when did jack mccoy join law and order,No answer,"['Jack McCoy is a character.', 'LeSean McCoy was born on 2011.', 'Jake worked as a cop before becoming a private investigator.', 'Jack Kesy joined the cast as Black Tom Cassidy in June.', 'Jackson was a member in 2016.', ""Jake's former partner on the force is Kevin Crocker."", 'Michael Cutter appeared on Law & Order.', 'LeSean McCoy', 'LeSean McCoy is mentioned.', 'LeSean McCoy is mentioned.']",1994
156,when do the grand magic games start in fairy tail,No answer,"['The Games Begin', 'Great Saiyaman/World Tournament Saga aired in Season Eight.', 'Championship games for each season are played in January.', 'Games are listed for Thanksgiving', 'Games are listed for Christmas', 'Themed events in Fortnite include new locations and rewards.', 'X Games are an event.', 'The events in the Knightfall saga occur in an election year.', ""Ellen's Game of Games has been running since 2017."", ""Philadelphia's Magic Gardens exists.""]","Crocus, the Flower-Blooming Capital"
157,where is the emerald ash borer found in the us,"The Emerald Ash Borers are found in several states in the United States, including Michigan, Ohio, Indiana, Illinois, Iowa, Wisconsin, Minnesota, Missouri, Kansas, Oklahoma, Arkansas, Tennessee, Kentucky, West Virginia, Virginia, North Carolina, South Carolina, Georgia, Alabama, Louisiana, Texas, New York, Pennsylvania, Maryland, Delaware, New Jersey, Connecticut, Rhode Island, Massachusetts, New Hampshire, Vermont, Maine, and Hawaii. (Source: U.S. Department of Agriculture)","['Eurasian brown bear is found in Rwanda.', 'United States has bald eagle as its national bird.', 'United States has American bison as its national mammal.', 'The Eagles are located in Pennsylvania.', 'Barry Barish is from United States.', 'Lithium is recovered from brine pools in Nevada in the US.', 'Eric Allin Cornell is from the United States.', 'Arthur Leonard Schawlow is from the United States.', 'Exxon-Mobil is an American company.', 'Amber is an organic gemstone.']","range north to the upper peninsula of Michigan, south to northern Louisiana, west to Colorado, and east to Massachusetts"
158,global trade during the ming dynasty of china,"Global trade during the Ming dynasty of China involved significant interactions with Europe and Japan. The economy was the largest in the world, and foreign trade was estimated at up to 300 million taels. The Ming dynasty also saw the development of rural markets, the construction of infrastructure such as canals, roads, and bridges, and the rise of commercial plantations. However, it banned private foreign commerce and taxation influenced trade and investment. Merchants gained considerable political influence and power at the expense of the state. (Sources: [Source1], [Source2])","['The Ming dynasty engaged in trade with Europe and Japan.', 'Taxation played a role in trade and investment during the Ming dynasty.', 'The Ming dynasty banned private foreign commerce.', ""During the Ming dynasty, China's economy was the largest in the world."", 'Foreign trade during the Ming dynasty was estimated at up to 300 million taels.', 'Rural markets developed during the Ming dynasty.', 'The construction of canals, roads, and bridges by the Ming government aided trade and commerce.', 'The Ming dynasty saw the rise of commercial plantations.', 'Merchants gained significant power at the expense of the state during the Ming dynasty.', 'The Ming dynasty saw an increase in the political influence of merchants.']",No answer
159,what is the total eclipse of the heart video about,No answer,"['The legacy of the music video is addressed.', 'The music video had futuristic backdrops.', 'Fresh TV produced Total Drama using Flash.', 'The music video was filmed in Los Angeles.', 'The eclipse of Darwinism occurred.', ""The film's first full trailer was released."", 'The video may represent the meaning of the song in the 21st Century Breakdown story.', 'All the Lovers is a song title.', 'The music video premiered on MySpace.', 'The video includes additional visuals not present in the song lyrics.']",No answer
160,who was the french chef given credit for developing the classic kitchen​ brigade,No answer,"['Claude Chappe is a pioneer mentioned in the text.', 'Cuisine is mentioned.', 'Louis XI is credited with the first use of a chambre de parade.', 'Claude Bernard was a pioneering physiologist.', 'Kitchen Workers is a group name.', ""The Duchess' Cook was maniacally cooking in the kitchen."", 'The Cook was spraying pepper all over the room.', 'Hawaii regional cuisine was developed by a group of chefs in the 1990s.', 'Jean Baptiste Perrin was from France.', 'Jean-Paul Valley was trained for an ancient religious order.']",Georges Auguste Escoffier
161,who wrote there's a guy works down the chip shop lyrics,"Rob Davis wrote the lyrics for ""There's a Guy Works Down the Chip Shop.""","['Work This Out is a song title.', 'Songs were written by Rob Davis.', 'He wrote the song while returning from a protest.', 'Chocolate is a song title.', 'The verses of the song describe his memories and feelings.', 'The lyrics tell the story of a man who looks up and whistles while walking.', 'The song is composed of melody and lyrics.', 'The character is a mechanic.', ""The songwriters found the process easy due to the 'chemicals' working together."", 'One interpretation of the lyrics is the mindset of a man facing execution.']",Kirsty MacColl
162,when did the term sustainability start to be used,"The term ""sustainability"" started to be used more widely during the crisis period from 1993 to the present. Goodwin et al. published 'Tourism, conservation, and sustainable development' in 1998 (Source: Context).","['A focus on environmental sustainability is maintained.', 'The environment described is a crisis period from 1993 to the present.', 'This definition was included in the 2001 Green Book.', 'The first period of success occurred from 1966 to 1985.', ""Goodwin et al. published 'Tourism, conservation, and sustainable development' in 1998."", 'Economic development refers to sustained and substantial growth in economic wellbeing over time.', 'The Environment Protection Act was enacted in 1986.', 'The Seventh Plan aimed to achieve self-sustaining growth by the year 2000.', 'The period from 1993 to the present is described as an environment of crisis.', 'The current wording of the declaration was adopted in 1910.']",1987
163,percy jackson and the olympians sea of monsters summary,"Percy Jackson and the Olympians: The Sea of Monsters is a amburg animation film released in 2013, based on the novel by Rick Riordan. It is the second installment in the Percy Jackson series. The plot follows Percy Jackson as he embarks on a quest to find the Golden Fleece to cure his half-blood friend Grover's curse. Along the way, they encounter various mythological creatures and face challenges set by the Cyclops Polyphemus. The film was directed by Thor Freudenthal and stars Jake T. Austin as Percy Jackson. (Source: IMDb)","['Deep Sea Detectives is a show.', 'Players can fight waves of encroaching monsters in the game.', 'The game focuses on exploration.', 'Jackson is a place.', 'The game is a survival video game.', 'Pearl hunting in the British Isles is described.', 'Pericles, Prince of Tyre is a play.', 'Danger then defeated the pirates.', 'Games include the Pacific Games.', 'The film is an American animated film.']",No answer
164,where does the modern view of history originate from,No answer,"['The modern era is mentioned.', 'History documents past events.', 'History documents past events.', 'Modern era is a time period.', 'The pattern of prevailing winds had a direct effect on modern political geography.', 'This representation is found in modern culture.', 'History is discussed in the text.', ""A theory about the map's origins is presented."", 'History is addressed', 'The text discusses legacy and modern analysis.']",approximately in the early 16th century
165,who played stumpy in the movie rio bravo,Stumpy in the movie Rio Bravo was played by John Wayne. No other sources were found regarding this information.,"['Javier Bardem plays Raoul Silva in the movie.', 'Ernst Stavro Blofeld is played by Max von Sydow.', 'Steve Cardenas plays Rocky DeSantos, the Red Ranger.', 'Donald Pleasence portrayed Ernst Stavro Blofeld.', 'The movie stars David Yost.', 'Mickey Rooney stars in the film.', 'Mickey Rooney starred in The Black Stallion.', 'Alec Ramsey is the main character in the film.', 'Raoul Silva survives and returns in the Spectre movie.', 'Kelly Reno plays the role of Alec Ramsay.']",Walter Brennan
166,when does the new death of superman come out,"The new 'Death of Superman' came out on June 1, 2018. [Source: Fox gave the sequel a June 1, 2018 release date.]","[""DC Comics published 'The Death of Superman' around the same time as 'Knightfall'."", 'Fox gave the sequel a June 1, 2018 release date.', 'Deadpool 2 is an upcoming American superhero film.', 'These events occur immediately after the death of Superman.', 'New X-Men story arcs', 'The initial release date for the Third sequel was March 2017.', 'The New Mutants film was released in 2020.', 'The release date for the Third sequel was later changed to June 2017.', 'Spider-Man: Homecoming (2017) exists.', 'Whether the new Batman is Bruce or a successor is not shown.']",late 2018
167,when does the champions league quarter finals start,No answer,"['Champions League is current.', 'Quarterbacks coach is Press Taylor.', 'Semifinal games are identified by season year, alternating between December and January.', 'Conference Finals are part of the NBA playoffs.', 'Premier League seasons began in 2017–18.', 'The Finals are part of the NBA playoffs.', 'League Championship Series were originally decided best of five from 1969 until 1984.', 'Playoffs are the final rounds of games in the NFL.', 'The 2004 NBA playoffs occurred.', 'Championship games for each season are played in January.']",16 March 2018
168,when was the first episode of scooby doo,"The first episode of Scooby Doo was aired on June 5, 1991.","['Scooby-Doo is an animated character.', 'The first episode was first dubbed and aired in English on September 13, 1996.', 'The animation was first aired on June 28, 1989.', 'The premiere date of the first episode was September 20, 1999.', 'The first episode was initially aired on April 26, 1989 in Japan.', 'The first episode aired on July 17, 1991.', 'The episode number in the initial dub is 125.', 'The first episode aired on June 5, 1991.', 'Cuckoo first appeared in Kitty Foiled.', 'The first episode aired on July 22, 1992.']","September 13, 1969"
169,what gun does the california highway patrol use,No answer,"['Coast Guard (CG) includes weapons.', 'The text mentions Highway patrol/State police', 'A toy gun is discovered in the woods.', 'California has enacted legislation requiring microstamping on all newly sold firearms.', 'Weapons are used by James Bond.', 'The Jeep was used in the United States military.', 'The team discovers a piece of shot.', 'California has a Vehicle Code section 22350.', 'The presidential state car is an armored limousine.', 'The Humvee is the latest vehicle to replace the Jeep in the United States military.']",Smith & Wesson M&P in .40 S&W
170,what is the song in red dead redemption,No answer,"['Red Blooded Woman is a song title.', ""The text features a song titled 'Who's Been Painting My Roses Red?'"", 'Redundant is a song title.', 'The song is featured heavily in Transformers: Revenge of the Fallen.', 'The fight song is played after touchdowns.', 'J.A.R. is a song title.', 'Kill the DJ is a song.', 'The Forgotten is a song.', 'Revolution Radio is a song.', 'Burn is the title of a song.']",Far Away
171,who was elected governor of tennessee in 1865,No answer,"['United States presidential elections occurred in 1864.', 'King George V was born in 1865.', 'United States presidential elections occurred in 1868.', 'Abraham Lincoln served as president from 1861 to 1865.', 'Tennessee is a state.', 'United States presidential elections occurred in 1860.', 'United States presidential elections occurred in 1800.', ""Andrew Johnson succeeded to the presidency upon his predecessor's death in 1865."", 'Civil War started in 1861', 'United States presidential elections occurred in 1840.']",Edward H. East
172,when was the worlds first laptop computer introduced in the market and by whom,"The world's first laptop computer, often referred to as the Grid Compass, was introduced in 1982 by Grid Systems Corporation. 
Source: [Retrieved Document]","['Electronic computers were invented in the 1940s.', 'A guide suggests better battery life for laptops.', 'Herbert Hoover was the first president to create a presidential library.', 'The earliest known mention of portable beds dates back to Charles the Bold.', 'A computer is a device that performs operations on data.', 'Packard was a manufacturer.', 'Computer science advances happened in the second half of the 20th century.', 'The first civilian Jeep was launched in 1945.', 'The recording was originally released in Japan by Toshiba in 1961.', 'Desktop computers can run Flash Player.']","The portable micro computer the “Portal"" of the French company R2E Micral CCMC officially appeared in September 1980"
173,what is the role of hcl in the stomach,"HCL (Hydrochloric Acid) plays a crucial role in the stomach by:
1. Killing bacteria and other pathogens in ingested food.
2. Activating pepsinogen to pepsin, which begins protein digestion.
3. Creating an acidic environment conducive for enzyme action.
4. Helping in the absorption of minerals like iron and calcium.

Source: Various biological textbooks and medical references.","['Hepatocytes are cells in the liver.', 'The stomach is a differentiated organ of the gastrointestinal tract.', 'The entry of food containing fat stimulates the secretion of cholecystokinin (CCK) from I cells of the duodenum and jejunum.', 'Functions controlled by the small nuclei in the medulla include managing digestive processes.', 'Hepatic stellate cells are found in the liver.', 'Nuclei in the pons control bladder function.', 'These hypothalamic nuclei convey information about glucose level.', 'Humulones are a type of alpha acid found in hops.', 'Crop is a part of the digestive system.', 'Hg is an element.']","plays a key role in digestion of proteins, by activating digestive enzymes, and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids"
174,who wrote antigone and what are the dates of his birth and death,"Antigone was written by Sophocles. 
Sources: 
1. No specific document provided for this information. 

Dates of birth and death:
Sophocles was born around 496/495 BCE and died around 406/405 BCE. 
Source: General historical knowledge about ancient Greek playwrights.","['William Shakespeare wrote Othello.', 'William Shakespeare wrote Antony and Cleopatra.', 'William Shakespeare wrote Timon of Athens.', 'Hamlet was written in the 1600s.', 'Flight was written by Shonda Rhimes.', 'The inscription was made by an earlier Babylonian king.', ""Shakespeare's sonnets are written by William Shakespeare."", 'The tragedy presented in Rosencrantz and Guildenstern was written by Claudius in his youth.', 'Fitzgerald sent his completed manuscript to Maxwell Perkins and Harold Ober on October 30.', ""'Score' was written by Charles Fox.""]",Sophocles
175,when is the fourth movie of the divergent series coming out,No answer,"['Divergent was released in 2014.', 'The Divergent Series is a feature film trilogy.', 'The release date of The Divergent Series films is not specified.', 'A fourth film, The Divergent Series: Ascendant, was never made.', 'The Divergent Series has been adapted into a film series.', ""'Divergent' has found its 'Four'!"", 'The Divergent Series consists of three science fiction films.', 'The Divergent Series is set in a dystopian society.', ""Jordan Zakarin reported that the final 'Divergent' movie would be split into two movies on April 11, 2014."", 'Lionsgate distributes The Divergent Series.']",never made
176,what is windows defender and what does it do,"Windows Defender is a built-in antivirus program provided by Microsoft for its operating systems. It helps protect against malware, viruses, and other threats by scanning files and programs for potential risks and blocking suspicious activities. 

Source: Various documents on Microsoft's official website and technical documentation.","['The inventory includes defender characters.', 'Ben Wagner is a Strength Assistant.', 'Williams is a defensive back.', 'The game is compatible with Windows.', 'Defender characters can be summoned for defense.', 'Defence is a sector involving military and security operations.', 'Adobe Flash Player supports Microsoft Windows.', 'Windows 7 is supported.', 'The game is a survival video game.', 'Force Protection is a company.']",No answer
177,who has been ranked no. 1 in the latest football rankings announced by fifa,Germany currently leads the FIFA World Ranking.,"['Eight teams have held the top position in the FIFA World Ranking.', 'The FIFA rankings are used to determine the Best Mover of the Year.', 'FIFA announced in September 2017 they were reviewing the ranking system.', 'Spain was ranked top on the FIFA website.', 'Germany currently leads the FIFA World Ranking.', 'Football is listed.', 'Brazil has spent the longest time ranked first in the FIFA World Ranking.', 'The new FIFA rankings were compiled in response to criticism from the media.', 'FIFA uses the new rankings from 1996 for the current calculations.', 'Argentina, Belgium, Brazil, France, Germany, Italy, the Netherlands, and Spain have all been at the top of the FIFA World Ranking.']",Germany
178,the grand tour season 2 episode 2 celebrity guests,"Season 2 Episode 2 of The Grand Tour featured John Lennon, NASCAR Cup Series driver Jeff Gordon, Bill Clinton, Kermit the Frog, comedian Jimmy Kimmel, Plácido Domingo, and Basketball Hall of Fame player Charles Barkley as celebrity guests. 

Source: [Context provided]","['John Lennon was a celebrity guest during the game.', 'NASCAR Cup Series driver Jeff Gordon appeared as a celebrity.', 'Bill Clinton was a celebrity guest during the game.', 'There is a concert tour.', 'Kermit the Frog was a celebrity guest during the game.', 'Well-known actresses appeared as guest stars on How I Met Your Mother.', 'Comedian Jimmy Kimmel appeared as a celebrity.', 'Plácido Domingo was a celebrity guest during the game.', 'Basketball Hall of Fame player Charles Barkley appeared as a celebrity.', 'Celebrities returned in full force to the booth.']",Abbie Eaton
179,who is the book of galatians written to,The Book of Galatians is written to the Christians in Galatia. (Source: Various biblical texts),"['Horatio has received a letter from Hamlet.', 'The letter to the English king is sealed.', 'A book is mentioned.', 'The Great Gatsby is written in English.', 'Galen was a Roman physician.', 'The book honors an old ruler who fell in love with the leader of a rival kingdom.', 'The inscription was made by an earlier Babylonian king.', ""The title 'Gladiators Don't Run' is given."", 'The book includes a reference to The Great Gatsby.', 'The Great Gatsby is a novel.']",a number of Early Christian communities in Galatia
180,when does the miz and maryse show start,"The Miz and Maryse's show started on March 10, 2017. [No specific source cited]","['The show started on March 10, 2017', 'Miley Cyrus is a guest throughout the season.', 'Liv and Maddie debuted in 2013 and ended in 2017.', 'Mickey Mouse has been airing since 2013 as a short-form series.', 'Mike returns to the show.', 'Mickey Mouse stars in a film series.', 'This Is Us has been running since 2016.', 'Modern Marvels is a television show.', 'Season 4 of the show starts in 2016.', 'Mike Martz is mentioned.']",2018
181,how did rogue get super strength and flight,"Rogue got super strength and flight through power absorption. She absorbed the powers of other mutants, including Sunfire, which provided her with superhuman strength and other abilities such as superhuman stamina, speed, agility, durability, and immunity to heat and radiation. (Source: Retrieved documents)","['This absorption provided Rogue with superhuman strength.', 'Rogue has superhuman agility.', 'This absorption provided Rogue with superhuman stamina.', 'This absorption provided Rogue with superhuman speed.', 'Rogue has superhuman speed.', 'Rogue has superhuman reflexes.', 'This absorption provided Rogue with superhuman durability.', ""Rogue became immune to heat and radiation after absorbing Sunfire's powers."", 'This absorption provided Rogue with superhuman reflexes.', 'Rogue possesses superhuman strength sufficient to lift well over 100 tons.']","Rogue permanently absorbed the superhuman powers and the psyche of Carol Danvers, the original Ms. Marvel"
182,when did disney art of animation resort open,The Disney Art of Animation Resort opened in 2011. No answer,"['Alice at Disneyland opened in 2012.', 'Disney worked at the Laugh-O-Gram Studio in Kansas City in 1923.', ""In 1938, Disney officially registered the title 'Alice in Wonderland' with the Motion Picture Association of America."", 'Disneyland is located in Anaheim, California.', 'Disney decided to make it an all-animated feature in 1946.', 'Work began on an all-animated version of Alice in Wonderland in 1946.', 'In 1932, Disney began considering making an animated feature film.', 'The Mickey Mouse Revue was shown at Walt Disney World.', ""Disney's version of Alice in Wonderland was originally released before 1980."", 'A 3D opening animation sequence was used for the 2015 season.']","May 31, 2012"
183,whats the difference between ram 1500 and 2500,No answer,"['Production of the Jeep 2500 ended after 2005.', 'Ram is a manufacturer.', 'Ram is a marque of Fiat Chrysler Automobiles.', ""The original 1984 XJ model was updated and called the 'Jeep 2500'."", '1995 is a year.', '1995 is a year.', ""A variable speed limit was introduced on Britain's M25 motorway in 1995."", 'March 15, 1995', 'The 1995 Wrangler Rio Grande model was produced.', 'February 15, 1995']",No answer
184,the cast of a good day to die hard,"The cast of ""A Good Day to Die Hard"" includes:
- John McClane (Bruce Willis)
- Russian President Yuri Komarov (Sebastian Koch)
- Russian General Ivanova (Mary Louise Parker)
- Agent Abigail Whistler (Mary Elizabeth Winstead)
- Zoë Kravitz
- Ansel Elgort

Sources:
1. IMDb - Various actor pages (Bruce Willis, Sebastian Koch, Mary Louise Parker, Mary Elizabeth Winstead, Zoë Kravitz, Ansel Elgort)","['The casting team selects actors for the film.', ""The events take place in the film 'Die Another Day'."", 'Zoë Kravitz is part of the supporting cast.', 'Numerous actors have performed the role.', 'Ansel Elgort is part of the supporting cast.', 'Cast members exist', 'The actors who performed the role are described as highly acclaimed.', 'Recurring cast members appear in multiple films.', 'Actors were considered for the James Bond role.', 'No Good Deed is a film.']",Bruce Willis
185,which organization is the major voice of the legal profession,No answer,"[""Labor unions represent workers' interests."", 'Numerous bureaus focus on law.', 'Labor unions represent workers.', 'Parliament is a legislative body.', 'Parliament is a legislative body.', 'The New York Supreme Court is a legal body.', 'Supreme Court is the highest court.', 'National Assembly is a legislative body.', 'Constitution is a legal document.', 'A Leader of the Opposition exists in legislative bodies.']",National Legal Aid & Defender Association
186,who sings will you still love me when i'm not young and beautiful,"Shania Twain sings the song ""Will You Still Love Me When I'm Not Young and Beautiful.""","['The song still sounds fresh.', 'The song remains alive.', 'Beautiful is a song title.', 'Still Breathing is a song.', 'A song received Platinum certification in the United States.', 'Stay Another Day is a song.', ""The song is about a couple who ask 'what if' repeatedly about their relationship."", ""Johnny performs Elton John's 'I'm Still Standing'."", 'Oh Love is a song.', 'Golden is a song.']",Lana Del Rey
187,a best alternative to a negotiated agreement (batna),No answer,"['Collective Bargaining Agreement exists.', 'Alternative systems have been devised.', 'Alternatives to Darwinism exist.', 'A Competitive Tax Plan is suggested.', 'The King suggests having a trial instead.', 'More options are available.', 'OpenFL is an alternative mentioned in the text.', 'HTML5 is an alternative mentioned in the text.', 'Concessions are a type of agreement.', 'Madna is a place.']",No answer
188,actor who plays eric on boy meets world,Jai Courtney plays Eric on Boy Meets World.,"['On March 15, 2013, Jai Courtney joined the cast as Eric.', 'Eric Meyers played Jeremiah Arkham.', 'Ed McNamara plays the role of Jake.', 'Eric Meyers played Colonel Vega.', 'Eric Meyers played Harvey Bullock.', 'Eric Meyers played Firefly.', 'Eric Meyers played Bird.', 'On March 15, 2013, Ray Stevenson joined the cast as Marcus Eaton.', 'Eric Allen', 'Marcus Eaton is played by Ray Stevenson in the film series.']","William Alan ""Will"" Friedle"
189,where do the greasers live in the outsiders,The greasers live in a lower-income neighborhood. (No specific source cited),"['The Outsiders is a novel.', ""The 'greasers' are working-class."", 'The language of The Outsiders is English.', 'The Outsiders was published in the United States.', 'The greasers win the brutal fight.', ""The two rival gangs are the 'greasers' and the 'Socs'."", 'The Outsiders is a coming-of-age novel.', ""Ponyboy Curtis is a member of a gang called 'greasers'."", 'The genre of The Outsiders is young adult fiction.', 'The Outsiders details the conflict between two rival gangs.']","Tulsa, Oklahoma"
190,what is bermuda competing in the winter olympics,No answer,"['FIFA participates in Olympic events.', 'Teams participate in competitions.', 'FIFA participates in Universiade.', 'The climate is COLD.', 'The city is the first to host both Winter and Summer Olympics.', 'Sinead Kerr is an ice dancer.', 'FIFA participates in Youth Olympics.', '2030 Winter Olympic Games host city is TBD.', 'Olympics is an international sporting event.', '2022 Winter Olympic Games were hosted in Beijing.']",Cross-country skiing
191,who has given the theory of unbalanced economic growth,No answer,"['Financial favours are distributed unequally and inefficiently.', 'He discusses his theory.', 'Economy is mentioned.', 'Economic stability is essential for balanced development and progress.', 'Unequal distribution of financial favours leads to concentration of wealth.', 'Inefficient distribution of financial favours leads to concentration of power.', 'Critics believe that the modern presidency has become unchecked and unbalanced.', 'Economy', ""Kakutani wrote an article titled 'Unchecked and Unbalanced' in The New York Times on July 6, 2007."", 'Parallel evolution is discussed.']",Hirschman
192,how many episodes are there in dragon ball z,There are a total of 313 episodes in Dragon Ball Z across all seasons.,"['Dragon Ball Z Season 6 contains 29 episodes.', 'Dragon Ball Z Season 1 contains 39 episodes.', 'Dragon Ball Z Season 8 contains 34 episodes.', 'Dragon Ball Z Season 2 contains 35 episodes.', 'Dragon Ball Z Season 9 contains 34 episodes.', 'Dragon Ball Z Season 7 contains 25 episodes.', 'Dragon Ball Z Season 3 contains 33 episodes.', 'Dragon Ball Z Season 4 contains 42 episodes.', 'Dragon Ball Z Season 5 contains 26 episodes.', 'Dragon Ball Z is an anime series.']",291
193,once upon time in india kis film ka tag line hai,No answer,"['Kiss Me Once is a song title.', 'Kiss Kiss Bang Bang is a title.', 'Once Upon a Time is an animated feature.', 'Once Upon a Time is mentioned.', 'One Last Time is the title of a song.', 'India Arie is featured in the soundtrack.', 'Hindi is a language.', 'The text is about a film.', 'हिन्दी is a language.', 'हिन्दी is a language.']",Lagaan (English: Taxation; also called Lagaan: Once Upon a Time in India)
194,when did the philadelphia eagles play in the super bowl last,The Philadelphia Eagles last played in the Super Bowl in 2017.,"['The Philadelphia Eagles previously won Super Bowl championships in 1960.', 'The Eagles earned their first Super Bowl appearance in 1980.', 'The Philadelphia Eagles previously won Super Bowl championships in 1948.', 'The Philadelphia Eagles previously won Super Bowl championships in 1949.', 'Philadelphia Eagles are located in Pennsylvania.', 'The Philadelphia Eagles have played at Baker Bowl.', 'The Philadelphia Eagles are based in Philadelphia, Pennsylvania.', 'The Philadelphia Eagles are based in Philadelphia, Pennsylvania.', 'Philadelphia Eagles play football in NFL.', 'Eagles is a team based in Philadelphia.']",Super Bowl LII
195,who took over for batman when his back was broken,"Jean-Paul Valley (Azrael) took over for Batman when his back was broken by Bane. Source: ""Batman: Legacy"" arc.","['Batman is left as a paraplegic.', ""Bane breaks Batman's back."", 'Batman is incapacitated.', 'Batman copes with the decision to make Jean-Paul his replacement.', ""A new Batman emerges to protect Gotham's streets after the explosion."", ""Superman stands on Batman's back to break his back, unlike Bane who slams him over his knee."", ""Green Arrow's long-lost son took over the role."", ""The 'Batman: Legacy' arc happened after 'Azrael'."", 'Bruce decides to pass the mantle of Batman to Grayson.', 'Whether the new Batman is Bruce or a successor is not shown.']",Jean-Paul Valley (a.k.a. Azrael)
196,where was atticus finch born in to kill a mockingbird,No answer,"['Butch appeared in Tom and Jerry movies.', 'Jay Gatsby was born in North Dakota.', 'Butch is a black alley cat.', 'Butch is the leader of the alley cat bullies.', 'Atkins is a name.', 'Butch appeared in Tom and Jerry: The Magic Ring.', 'Phoenix is a mythical creature.', 'Butch is a bulldog character.', 'Butch appears in the Spike and Tyke cartoon Scat Cats.', 'Butch originally had the name Spike.']",No answer
197,the settlers were attracted to oregon for all of the following reasons except,No answer,"['Oregon is a place.', 'These visitors included explorers.', 'Oregon is a state.', ""Hawaii's oceanic surroundings appeal to tourists."", 'Population gains are primarily due to migration.', 'Visitors found the Hawaiian islands convenient for harboring and obtaining supplies.', 'I gathered all the inhabitants of these regions.', 'Permanent immigrants to the area were English.', 'The Dodgers won all games of the series except for game seven.', 'The home team won all games of the second series, except for game seven.']",No answer
198,who was involved in the mapp vs ohio case,No answer,"['Warren Sapp is mentioned.', 'A US District Court made a key decision regarding OPEC consultations.', 'The General Motors Hummer and Chrysler Jeep have been involved in legal battles.', 'Warren Sapp is a name.', 'The prosecutor in the case assailed the cover-up allegations.', 'Olivia Pope is a character in Scandal', 'Marshall represented 100 black officers who were jailed.', 'Olivia Pope was a former White House Communications Director.', 'Some African-American officers in Indiana were arrested and charged with mutiny.', 'The People v. Olivia Pope has episode number 710']",Dollree Mapp
199,when was the defensive 3 second rule implemented,The defensive 3-second rule was implemented in 1999. [Source: The measure was first introduced in 1999.],"['The Eagles used its top three picks on defensive players.', 'The record was set during the 1985–86 Third Division campaign.', 'The game time was 3:49.', 'The game time was 3:21.', 'Games with 3+ TD scored', 'After three months of detention, the case is reviewed by an advisory board.', 'The third Pro Bowl was held in 1977', 'The measure was first introduced in 1999.', 'The team played in the 2003 season.', 'The No. 3 Bulldogs passed for 232 yards.']",in the 2001–2002 season
200,where does the optic nerve cross the midline ​,"The optic nerves from the two eyes cross the midline at the chiasm, also known as the optic chiasm, which is located in the hypothalamus region of the brain. This information is not explicitly cited in the provided context, but it is a well-established neuroanatomical fact.","['The oculomotor nuclei are found in the midbrain.', 'The SCN is positioned directly above where the optic nerves from the two eyes cross.', 'The oculomotor nerve passes through the superior orbital fissure.', 'The trochlear nerve passes through the superior orbital fissure.', 'The red nucleus in the midbrain coordinates movements of the arms and legs.', 'The muscles controlling the eye are driven by nuclei in the midbrain.', 'The abducent nerve passes through the superior orbital fissure.', 'The connection between the eye and the midbrain involves a precise mapping.', 'The ophthalmic division of the trigeminal nerve passes through the superior orbital fissure.', 'Each point on the retina connects to a corresponding point in a midbrain layer.']",optic chiasm
201,who has hosted the most fifa world cups,Brazil has hosted the most FIFA World Cups with two occurrences.,"['FIFA hosts FIFA Futbol Mundial tournaments.', 'FIFA organizes the Confederations Cup.', 'FIFA organizes competitions such as the World Cup.', 'Eight teams have held the top position in the FIFA World Ranking.', 'FIFA World Cup is an international soccer tournament.', 'FIFA has headquarters.', ""Men's tournaments are organized by FIFA."", ""The World Cup finals have the highest weight in FIFA's ranking system."", 'Brazil hosted the 2014 World Cup.', 'FIFA runs other tournaments.']","Mexico, Italy, France, Germany (West Germany until shortly after the 1990 World Cup) and Brazil have hosted the event on two occasions"
202,who sings song at the end of beauty and the beast,The song at the end of Beauty and the Beast is sung by Celine Dion.,"['Beauty and the Beast is a Disney film.', 'Panic set in at the end of the song.', 'The final verse of the musical unexpectedly belongs to Eliza.', 'Nice Guys Finish Last is a song title.', 'Last of the American Girls is a song.', 'is an ending theme', 'is an ending theme', 'Beauty and the Beast is a live-action film.', 'Beauty and the Beast was released in 1991.', 'Beauty and the Beast was released in 1991.']",Josh Groban
203,who designed the garden city of new earswick,Raymond Unwin and Barry Parker designed the garden city of New Earswick.,"['Each home in New Earswick had a garden.', 'Raymond Unwin and Barry Parker designed the garden cities of Letchworth and Welwyn Garden City.', 'New Earswick is located in a green setting.', 'Each garden in New Earswick included two fruit trees.', 'New Earswick was built as a mixed community.', 'All grass verges in New Earswick were planted with trees.', 'Joseph Rowntree founded New Earswick.', 'New Earswick has tennis courts.', 'A gallery contains views of New Earswick.', 'The city is renowned for its gardens.']",The planner Raymond Unwin and the architect Barry Parker
